Nom;n°_Structure;Statut;Objet;Precision;Localisation;n°_Indiv;Sexe_Bio;Sexe_Genetique;Sexe_Archeo;Classe;Probable;AgeEstime;ClasseAge
ARTZENHEIM Lotissement les violettes;0004;identifié;ceinture;boucle simple;associé au corps;1;;;;Immature;FAUX;8 ans 6 mois à 14 ans 3 mois;[5-9]/[10-14]
ARTZENHEIM Lotissement les violettes;0004;identifié;couteau;;associé au corps;1;;;;Immature;FAUX;8 ans 6 mois à 14 ans 3 mois;[5-9]/[10-14]
ARTZENHEIM Lotissement les violettes;0005;identifié;ceinture;garniture simple;associé au corps;1;;;;Adulte;VRAI;plus de 15 ans;[15-19]/[>20]
ARTZENHEIM Lotissement les violettes;0005;possible;contenant du défunt/chambre funéraire;;indéterminé;1;;;;Adulte;VRAI;plus de 15 ans;[15-19]/[>20]
ARTZENHEIM Lotissement les violettes;0014;identifié;peigne;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0014;non identifié;indéterminé;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0014;non identifié;indéterminé;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0015;identifié;baudrier d'épée;garniture multiple;associé au corps;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0015;identifié;ceinture;garniture simple à appliques;associé au corps;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0015;identifié;flèche;douille ouverte;associé au corps;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0016;non identifié;non identifié;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0020;non identifié;indéterminé;;secondaire (perturbé, pillé, résiduel);1;Féminin;Féminin;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0024;identifié;ceinture;boucle simple;indéterminé;1;Féminin;Féminin;;Adulte;FAUX;> 60 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;possible;châtelaine;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;anneau(x) de châtelaine;;associé au corps;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;rouelle/plaque de châtelaine;rouelle/plaque circulaire ajourée;associé au corps;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;peigne;;associé au corps;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;couteau;;associé au corps;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;étui de peigne;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;pendant/pendentif;monnaie percée;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;pendant/pendentif;monnaie percée;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;pendant/pendentif;monnaie percée;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;identifié;lot de perles (vrac);;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;possible;boucle d'oreille;filiforme;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;possible;boucle d'oreille;filiforme;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;non identifié;non identifié;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
ARTZENHEIM Lotissement les violettes;0025;non identifié;indéterminé;;indéterminé;1;;;;Adulte;FAUX;>20 ans;[>20]
