	fold	F1	Acc	P@1	Acc@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	Freq	
SIMSBM_[2]	0	0.8788	0.8788	0.8788	0.8788	0.8494	0.8456	0.9394	0.1212	0.0606	0.8788	
SIMSBM_[2]	1	0.7671	0.7576	0.7576	0.7576	0.8182	0.8287	0.8788	0.2424	0.1212	0.7576	
SIMSBM_[2]	2	0.8611	0.8485	0.8485	0.8485	0.8999	0.8882	0.9242	0.1515	0.0758	0.8485	
SIMSBM_[2]	3	0.8358	0.8333	0.8182	0.8182	0.8788	0.8868	0.9091	0.1818	0.0909	0.8182	
SIMSBM_[2]	4	0.8750	0.8750	0.8750	0.8750	0.8848	0.8742	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[2]	5	0.8438	0.8438	0.8438	0.8438	0.8740	0.8709	0.9219	0.1562	0.0781	0.8438	
SIMSBM_[2]	6	0.8923	0.8906	0.8750	0.8750	0.8975	0.8916	0.9375	0.1250	0.0625	0.8750	
SIMSBM_[2]	7	0.7250	0.6875	0.6875	0.6875	0.7207	0.7385	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[2]	8	0.7397	0.7031	0.6875	0.6875	0.7451	0.7228	0.8438	0.3125	0.1562	0.6875	
SIMSBM_[2]	9	0.8696	0.8594	0.8438	0.8438	0.9346	0.9367	0.9219	0.1562	0.0781	0.8438	
