	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
SIMSBM_[2]	0	0.7963	0.7872	0.7872	0.9463	0.8439	0.8901	0.2340	0.0585	
SIMSBM_[2]	1	0.8039	0.7872	0.7872	0.9472	0.8417	0.8901	0.2340	0.0585	
SIMSBM_[2]	2	0.8200	0.7872	0.7872	0.9485	0.8381	0.8901	0.2340	0.0585	
SIMSBM_[2]	3	0.8200	0.7872	0.7872	0.9514	0.8524	0.8901	0.2340	0.0585	
SIMSBM_[2]	4	0.7963	0.7872	0.7872	0.9476	0.8473	0.8901	0.2340	0.0585	
SIMSBM_[2]	5	0.8039	0.7872	0.7872	0.9475	0.8419	0.8901	0.2340	0.0585	
SIMSBM_[2]	6	0.8155	0.7872	0.7872	0.9484	0.8444	0.8901	0.2340	0.0585	
SIMSBM_[2]	7	0.8119	0.7872	0.7872	0.9491	0.8461	0.8901	0.2340	0.0585	
SIMSBM_[2]	8	0.7963	0.7872	0.7872	0.9472	0.8461	0.8901	0.2340	0.0585	
SIMSBM_[2]	9	0.8119	0.7872	0.7872	0.9499	0.8520	0.8901	0.2340	0.0585	
SIMSBM_[2]	10	0.8119	0.7872	0.7872	0.9478	0.8391	0.8901	0.2340	0.0585	
SIMSBM_[2]	11	0.8037	0.7872	0.7872	0.9439	0.8305	0.8901	0.2340	0.0585	
SIMSBM_[2]	12	0.8119	0.7872	0.7872	0.9484	0.8446	0.8901	0.2340	0.0585	
SIMSBM_[2]	13	0.8155	0.7872	0.7872	0.9473	0.8439	0.8901	0.2340	0.0585	
SIMSBM_[2]	14	0.8119	0.7872	0.7872	0.9484	0.8427	0.8901	0.2340	0.0585	
SIMSBM_[2]	15	0.8200	0.7872	0.7872	0.9479	0.8398	0.8901	0.2340	0.0585	
SIMSBM_[2]	16	0.8039	0.7872	0.7872	0.9472	0.8419	0.8901	0.2340	0.0585	
SIMSBM_[2]	17	0.8000	0.7872	0.7872	0.9454	0.8375	0.8901	0.2340	0.0585	
SIMSBM_[2]	18	0.8039	0.7872	0.7872	0.9481	0.8492	0.8901	0.2340	0.0585	
SIMSBM_[2]	19	0.8119	0.7872	0.7872	0.9485	0.8442	0.8901	0.2340	0.0585	
SIMSBM_[2]	20	0.8200	0.7872	0.7872	0.9484	0.8418	0.8901	0.2340	0.0585	
SIMSBM_[2]	21	0.8119	0.7872	0.7872	0.9481	0.8443	0.8901	0.2340	0.0585	
SIMSBM_[2]	22	0.8200	0.7872	0.7872	0.9496	0.8487	0.8901	0.2340	0.0585	
SIMSBM_[2]	23	0.8200	0.7872	0.7872	0.9494	0.8483	0.8901	0.2340	0.0585	
SIMSBM_[2]	24	0.8000	0.7872	0.7872	0.9461	0.8433	0.8901	0.2340	0.0585	
SIMSBM_[2]	25	0.8200	0.7872	0.7872	0.9508	0.8537	0.8901	0.2340	0.0585	
SIMSBM_[2]	26	0.8200	0.7872	0.7872	0.9504	0.8509	0.8901	0.2340	0.0585	
SIMSBM_[2]	27	0.8119	0.7872	0.7872	0.9493	0.8506	0.8901	0.2340	0.0585	
SIMSBM_[2]	28	0.8200	0.7872	0.7872	0.9499	0.8516	0.8901	0.2340	0.0585	
SIMSBM_[2]	29	0.8039	0.7872	0.7872	0.9479	0.8443	0.8901	0.2340	0.0585	
SIMSBM_[2]	30	0.8037	0.7872	0.7872	0.9455	0.8392	0.8901	0.2340	0.0585	
SIMSBM_[2]	31	0.8200	0.7872	0.7872	0.9478	0.8397	0.8901	0.2340	0.0585	
SIMSBM_[2]	32	0.8039	0.7872	0.7872	0.9479	0.8493	0.8901	0.2340	0.0585	
SIMSBM_[2]	33	0.8200	0.7872	0.7872	0.9501	0.8520	0.8901	0.2340	0.0585	
SIMSBM_[2]	34	0.8113	0.7872	0.7872	0.9491	0.8495	0.8901	0.2340	0.0585	
SIMSBM_[2]	35	0.8200	0.7872	0.7872	0.9498	0.8492	0.8901	0.2340	0.0585	
SIMSBM_[2]	36	0.8200	0.7872	0.7872	0.9529	0.8700	0.8901	0.2340	0.0585	
SIMSBM_[2]	37	0.8039	0.7872	0.7872	0.9476	0.8448	0.8901	0.2340	0.0585	
SIMSBM_[2]	38	0.8037	0.7872	0.7872	0.9511	0.8666	0.8901	0.2340	0.0585	
SIMSBM_[2]	39	0.8119	0.7872	0.7872	0.9484	0.8494	0.8901	0.2340	0.0585	
SIMSBM_[2]	40	0.8119	0.7872	0.7872	0.9467	0.8379	0.8901	0.2340	0.0585	
SIMSBM_[2]	41	0.8119	0.7872	0.7872	0.9481	0.8416	0.8901	0.2340	0.0585	
SIMSBM_[2]	42	0.8037	0.7872	0.7872	0.9479	0.8462	0.8901	0.2340	0.0585	
SIMSBM_[2]	43	0.8119	0.7872	0.7872	0.9482	0.8431	0.8901	0.2340	0.0585	
SIMSBM_[2]	44	0.8037	0.7872	0.7872	0.9464	0.8421	0.8901	0.2340	0.0585	
